ID_Galaxia,cig,ANG_SIZE_MAJ_log,ANG_SIZE_MAJ_original
71,71,1.39,24.547089156850298
72,72,1.22,16.595869074375607
73,73,0.54,3.4673685045253166
74,74,0.53,3.3884415613920256
75,75,0.57,3.715352290971725
76,76,0.85,7.079457843841379
77,77,0.8,6.309573444801933
78,78,1.37,23.442288153199225
79,79,0.61,4.073802778041127
80,80,4.57,37153.52290971728
81,81,1.47,29.512092266663856
82,82,0.74,5.495408738576246
83,83,0.91,8.128305161640993
84,84,1.36,22.908676527677734
85,85,2.02,104.71285480508996
86,86,1.38,23.9883291901949
87,87,0.99,9.772372209558107
88,88,1.1,12.589254117941675
89,89,2.45,281.8382931264455
90,90,0.8,6.309573444801933
91,91,1.1,12.589254117941675
92,92,0.63,4.265795188015927
93,93,0.58,3.8018939632056115
94,94,1.2,15.848931924611133
95,95,1.54,34.673685045253166
96,96,3.72,5248.074602497728
97,97,0.86,7.244359600749901
98,98,0.56,3.630780547701014
99,99,0.51,3.2359365692962827
100,100,0.77,5.88843655355589
101,101,0.36,2.290867652767773
102,102,0.52,3.311311214825911
103,103,3.09,1230.268770812381
104,104,1.13,13.489628825916533
105,105,10.72,52480746024.97734
106,106,0.58,3.8018939632056115
107,107,1.03,10.715193052376065
108,108,0.84,6.918309709189364
109,109,3.1,1258.9254117941675
110,110,1.5,31.622776601683793
111,111,0.6,3.9810717055349722
112,112,5.19,154881.66189124828
113,113,1.06,11.481536214968829
114,114,0.99,9.772372209558107
115,115,1.15,14.12537544622754
116,116,1.1,12.589254117941675
117,117,1.12,13.182567385564074
118,118,0.63,4.265795188015927
119,119,1.19,15.488166189124811
120,120,1.28,19.054607179632473
121,121,2.96,912.0108393559096
122,122,0.72,5.248074602497725
123,123,1.84,69.18309709189366
124,124,0.53,3.3884415613920256
125,125,0.6,3.9810717055349722
126,126,0.66,4.570881896148751
127,127,0.7,5.011872336272722
128,128,0.91,8.128305161640993
129,129,0.98,9.549925860214358
130,130,1.32,20.892961308540396
131,131,0.72,5.248074602497725
132,132,0.75,5.623413251903491
133,133,0.86,7.244359600749901
134,134,1.03,10.715193052376065
135,135,1.04,10.964781961431852
136,136,0.41,2.5703957827688635
137,137,0.46,2.884031503126606
138,138,2.32,208.92961308540387
139,139,3.78,6025.595860743575
140,140,0.99,9.772372209558107
141,141,0.82,6.606934480075959
142,142,0.47,2.9512092266663856
143,143,0.78,6.025595860743578
144,144,1.65,44.6683592150963
145,145,1.22,16.595869074375607
146,146,1.01,10.232929922807541
147,147,1.82,66.06934480075961
148,148,0.65,4.466835921509632
149,149,0.66,4.570881896148751
150,150,0.99,9.772372209558107
151,151,1.73,53.70317963702527
152,152,1.36,22.908676527677734
153,153,1.13,13.489628825916533
154,154,1.03,10.715193052376065
155,155,1.39,24.547089156850298
156,156,0.93,8.511380382023766
157,157,0.63,4.265795188015927
158,158,0.66,4.570881896148751
159,159,3.35,2238.72113856834
160,160,0.67,4.677351412871983
161,161,0.5,3.1622776601683795
162,162,1.92,83.17637711026708
163,163,0.81,6.456542290346556
164,164,0.25,1.7782794100389228
165,165,1.38,23.9883291901949
166,166,2.65,446.683592150963
167,167,1.51,32.359365692962825
168,168,2.2,158.48931924611142
169,169,0.47,2.9512092266663856
170,170,1.88,75.85775750291836
171,171,2.11,128.82495516931337
172,172,1.01,10.232929922807541
173,173,1.35,22.3872113856834
174,174,0.86,7.244359600749901
175,175,2.12,131.82567385564073
176,176,1.33,21.379620895022324
177,177,0.66,4.570881896148751
178,178,0.31,2.041737944669529
179,179,0.6,3.9810717055349722
180,180,2.07,117.48975549395291
181,181,1.14,13.803842646028846
182,182,0.51,3.2359365692962827
183,183,1.13,13.489628825916533
184,184,0.36,2.290867652767773
185,185,0.82,6.606934480075959
186,186,0.66,4.570881896148751
187,187,1.17,14.791083881682072
188,188,3.26,1819.7008586099826
189,189,2.1,125.89254117941675
190,190,1.36,22.908676527677734
191,191,1.22,16.595869074375607
192,192,1.1,12.589254117941675
193,193,1.89,77.62471166286916
194,194,1.12,13.182567385564074
195,195,1.02,10.471285480508996
196,196,1.1,12.589254117941675
197,197,19.95,8.91250938133744e+19
198,198,0.79,6.165950018614822
199,199,0.69,4.897788193684462
200,200,1.32,20.892961308540396
201,201,1.94,87.09635899560806
202,202,1.96,91.20108393559097
203,203,0.41,2.5703957827688635
204,204,1.44,27.542287033381662
205,205,0.76,5.7543993733715695
206,206,0.79,6.165950018614822
207,207,0.42,2.6302679918953817
208,208,1.78,60.25595860743578
209,209,0.92,8.31763771102671
210,210,0.54,3.4673685045253166
211,211,0.99,9.772372209558107
212,212,0.84,6.918309709189364
213,213,0.78,6.025595860743578
214,214,0.62,4.168693834703354
215,215,1.12,13.182567385564074
