135,227,22681, (R')SAB_x(rs)b                                                                           , S_AB(rs)b                                                                           ,"SAB_(x,a)",SAB
136,228,22777, (L)SB_a(bl)0^-                                                                                   , (L)SB(bl)0^o                                                                                       ,"SAB_(x,a)",SB
137,229,22750, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
138,231,22896, (R_1')SAB(rs)b                                                                             , (R_1')SAB:(rs)b sp                                                                         ,SAB,SAB
139,232,22922, SA(rs)c                                                                                              , SA(s)c                                                                                               ,SA,SA
140,233,22978, E(d)4                                                                                                , E(d)4-5                                                                                              ,E,E
141,234,22990, SA(s)c pec                                                                                           , SA(s)c pec                                                                                           ,SA,SA
142,236,23018, (R)S_AB(r'l)ab                                                            ," (R_1')SA_B(p,_rs)ab                                      ",SAB,SAB
143,237,23069, Sb spw                                                                                               , Sbc spw                                                                                              ,S,S
144,238,23093," (R_1'R_2')SA_B(p,rs,bl)b                                        "," (R_1')SB(p,r_s)b pec                                                      ",SAB,SB
145,241,23334, SB(r_s)d                                                                            , SB(rs)d                                                                                              ,SB,SB
146,242,23342, IBm                                                                                                  , SAB(rs)m pec                                                                                         ,I,SAB
147,243,23358, SB(bl)0^o                                                                                          , (L)SB(bl)0/a                                                                                         ,SB,SB
148,244,23383, (RL)SAB_a(s)0^o                                                                                  , (L)SB_a0^o                                                                                       ,SAB,SB
149,245,23469, (L)SA0^o                                                                                           , S_AB(l)0^o                                                                        ,SA,SAB
150,247,23559," IABm pec / PRG? / Sph,N?                                                                             ", Im pec or ETG + PR?                                                                                  ,I,I
151,248,23585, SAB(_rs)b                                                                           , SAB(_rs)b                                                                           ,SAB,SAB
152,249,23632, SA(s)bc:                                                                                             , SA(s)bc:                                                                                             ,SA,SA
153,250,23660, SB(r_s)m                                                                            ," SB(s,l)dm                                                                                            ",SB,SB
154,252,23668, SAB(rs)c                                                                                             , SA_B(rs)c                                                                           ,SAB,SAB
155,253,23711, SA(rs)c                                                                                              , SA(s)c                                                                                               ,SA,SA
156,254,23730, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
157,255,23755, SA(_rs)bc                                                                           , SA(rs)b                                                                                              ,SA,SA
158,257,23881, E(d)5                                                                                                , S0^- sp / E(d)4-5                                                                                  ,E,S0
159,258,23928, (R':)SA_B(_rs)b pec                                      , SAB(rs)b                                                                                             ,SAB,SAB
160,259,23918, (R')SB(_rs)ab                                                             , (R')SB(_rs)a                                                              ,SB,SB
161,260,23936, S_AB(rs)bc                                                                          , SA(rs)c                                                                                              ,SAB,SA
162,261,23938, SA(s)bc                                                                                              , S_AB(s)bc                                                                           ,SA,SAB
163,262,24025, SA(r)0^+                                                                                           , SA(r)0^+                                                                                           ,SA,SA
164,263,24052," (R'L)SAB(rl,bl)ab                                                                          ", (R')SAB(_rs)a                                                             ,SAB,SAB
165,264,24158, E(d)3:                                                                                               , SB0^-                                                                                              ,E,SB
166,268,24244, SA_B(r_s)cd                                                        , SB(r_s)cd                                                                           ,SAB,SB
167,269,24239, (RL)SA(l:)0/a                                                                                        , (R')SA0/a                                                                                  ,SA,SA
168,270,24251," SAB(s,np)ab                                                                                          ", SAB(s)b sp                                                                                           ,SAB,SAB
169,271,24348, S_AB(r_s)bc                                                        , SA(s)bc                                                                                              ,SAB,SA
170,272,24302, SA(s)a:                                                                                              , SAa pec                                                                                              ,SA,SA
171,273,24332, (R_1')SA_B(s)ab                                                           , (R_1')SA_B(rs)ab pec                                                      ,SAB,SAB
172,274,24357, (R')SAB(s)a                                                                                , (R_1')SAB(s)a                                                                              ,SAB,SAB
173,275,24399, (R')SAB(rs)b                                                                               , SAB(rs)b                                                                                             ,SAB,SAB
174,276,24374, SB(s)m sp                                                                                            , Sdm sp                                                                                               ,SB,S
175,277,24407, SB(rs)d                                                                                              , SB(rs)d                                                                                              ,SB,SB
176,278,24438, (R')SAB_a(rs)ab                                                                          , (R_2')SAB_a(rs)ab                                                                        ,"SAB_(x,a)","SAB_(x,a)"
177,279,24425, SAB(s)m                                                                                              , SA(s)dm                                                                                              ,SAB,SA
178,280,24475, SA(s)cd                                                                                              , SA(s)c                                                                                               ,SA,SA
179,281,24531, SA(rs)bc                                                                                             , SA(r_s)bc                                                                           ,SA,SA
180,282,24521, SAB(r_s)b                                                                           , SAB(rs)bc                                                                                            ,SAB,SAB
