"160","259","23918","1.5","6","(RP)","SB","(_rs)","_ab",,,
"161","260","23936","4.5","9",,"SA","(rs)","b_c",,,
"162","261","23938","4","9",,"SA","(s)","bc",,,
"163","262","24025","-1","99",,"SA","(r)","0^+",,,
"164","263","24052","1.5","8","(RP)","SAB","(_rl,bl)","_ab",,,
"165","264","24158","-3","99",,"SB",,"0^-",,,
"166","268","24244","6","5",,"SB","(r_s)","cd",,,
"167","269","24239","0","99","(RPL)","SA","(l:)","0/a:",,,
"168","270","24251","2.5","6",,"SAB","(s,np)","a_b","sp",,
"169","271","24348","4","9",,"SA","(s)","bc",,,
"170","272","24302","1","99",,"SA","(s:)","a:",,"pec",
"171","273","24332","2","8","(R1P)","SA_B","(r_s)","ab",,"pec",
"172","274","24357","1","12","(R1P)","SAB","(s)","a",,,
"173","275","24399","3","4","(RP)","SAB","(rs)","b",,,
"174","276","24374","8.5","99",,"SB:","(s:)","d_m","sp",,
"175","277","24407","7","5",,"SB","(rs)","d",,,
"176","278","24438","2","8","(R2P)","SAB_a","(rs)","ab",,,
"177","279","24425","8.5","4",,"S_AB","(s)","d_m",,,
"178","280","24475","5.5","9",,"SA","(s)","_cd",,,
"179","281","24531","4","9",,"SA","(rs)","bc",,,
"180","282","24521","3.5","9",,"SAB","(rs)","_bc",,,
"181","283","24567","9.5","4:",,"S/I","(s:)","m","sp",,"(cc)"
"182","284","24617","6","1",,"SA","(r_s)","cd:",,,
"183","286","24780","3","5","(RP:)","SA","(rs,ls)","b",,,
"184","287","24839","2.5","12:","(RP)","SAB","(rs)","a_b",,,
"185","288","24914","5","9",,"SA","(s)","c",,,
"186","289","24969","4.5","9",,"SA","(s)","b_c",,,
"187","290","25012","7","4",,"SAB","(s)","d",,,
"188","291","25128","6","1",,"SA","(s)","cd",,"pec",
"189","292","25248","3","9","(R1P)","SB","(rs,nl)","b",,,
"190","293","25292","99","99",,,,,,,"Pec (merger)"
"191","294","25341","7","99",,"S",,"d","sp",,
"192","295","25344","5","2",,"SA","(rs:)","c:","sp",,
"193","296","25423","5","3",,"SA","(s)","c",,,
"194","298","25533","2.5","9","(RPL)","SB","(rs,bl)","a_b",,,
"195","299","25562","9","4",,"SA_B","(s)","m","sp",,
"196","301","25560","1","99",,"S_AB","(s)","a:",,,
"197","302","25638","5.5","12","(R2P)","SAB","(s)","_cd",,"pec",
"198","303","25646","-1.5","99",,"SA","(_rl)","0^o+","sp",,"/ E(d,b)5-6"
"199","304","25731","4","12",,"SA","(rs)","bc",,,
"200","305","25724","-5","99",,,,"E",,,
"201","306","25754","7","5:",,"SA","(s)","d:",,,
"202","307","25770","2.5","9",,"SAB","(rs)","a_b",,,
"203","308","25802","2","12",,"SA","(s)","ab",,,
"204","310","25884","1","99",,"S",,"a","sp",,
"205","311","25888","1","99","(RP)","SAB","(s)","a:",,,
"206","312","25892","5.5","3",,"SB","(s)","_cd:","sp",,
"207","313","25920","4","12",,"SA","(s)","bc",,,
"208","314","25946","5","9",,"SA","(rs,nrl)","c",,,
"209","316","25949","-3","99",,"S","0^-",,"sp",,"/ E(d)7"
"210","317","25956","6.5","4","(RP)","SAB","(s)","c_d",,,
"211","318","25987","1.5","6","(RP)","SA","(rs)","_ab:",,"pec",
"212","319","26101","3","7","(RP)","SA","(r_s)","b:","sp",,
"213","321","26256","6","6:",,"SAB","(s)","cd",,,
"214","322","26465","3.5","5","(RP)","SA","(rs)","_bc",,"pec",
"215","323","26461","4","9",,"SA","(s)","bc","sp",,
"216","325","26543","4.5","5",,"SA","(rl)","b_c",,,
"217","327","26634","0","99","(R2P)","SAB","(s)","0/a",,,
"218","328","26650","4","9","(RPL)","SA","(s)","bc",,"pec",
"219","329","26690","3","6:",,"SA_a","(rs)","b","sp",,
"220","330","26722","3.5","9",,"SAB","(rs)","_bc",,,
"221","331","26766","3","8","(RP)","SA","(rs,r)","b",,,
"222","332","26785","-1","99",,"SA","(l)","0^+",,,"/ E(d)4"
"223","333","26802","4.5","12",,"SA","(s)","b_c",,,
"224","334","26787","3.5","99",,"SA","(rs)","_bc:","sp",,
"225","335","26856","5","3",,"SA","(s)","c",,,
"226","336","26817","2.5","8","(R1P)","SB","(r,bl)","a_b",,,
"227","337","26867","3","9",,"SA","(rs)","b",,,
"228","338","26876","0","99","(RPRP)","SAB",,"0/a",,,"[E(d)4?]"
"229","339","26970","4","12","(R2P)","SAB_a","(_rs,nl)","bc",,,
"230","340","26966","5","6","(RP)","SA","(rs)","c",,,
"231","341","26965","1","99",,"SA","(s:)","a:",,"pec",
"232","342","26987","2.5","99",,"S",,"a_b:","sp","pec","/ E(d)2 pec"
"233","343","26974","8","4",,"SB","(r_s)","dm",,,
"234","344","27016","5.5","12",,"SA","(s)","_cd",,,
"235","345","26988","5","3",,"SA","(s:)","c:","sp",,
"236","346","27240","1","8","(RP)","SA","(_rl)","a",,,
"237","348","27128","0.5","99","(RPL)","SAB","(s)","0/_a:",,,
"238","349","27292","99","99",,,,,,,"RG + Pec (merger)"
"239","350","27220","3.5","99","(RP)","SAB:","(s)","_bc","sp",,
"240","351","27259","1.5","8","(RP,RP)","SB","(r)","_ab",,"pec",
"241","352","27311","9.5","99",,"S/IB:",,"m","sp",,"/ E(b,d)6-7"
"242","353","27297","7","5",,"SA_B","(rs)","d",,,
"243","354","27331","8.5","5",,"SAB","(s)","d_m",,"pec",
"244","355","27361","8","4",,"SA_B","(s)","dm",,,
"245","356","27447","4","12",,"SA","(s)","bc",,,
"246","358","27600","-5","99",,,,"E2-3",,,
"247","359","27619","1","99","(RP)","SA","(rpl)","a",,"pec",
"248","360","27644","6","5",,"SAB_a","(rs)","cd",,"pec",
"249","361","27666","4","7","(RP)","SA","(rs)","bc",,,
"250","362","27727","3.5","12","(RP)","S_AB","(s)","_bc:","sp",,
"251","364","27719","-1.5","99",,"SA","(rl)","0^o/+:",,,
"252","365","27754","3.5","9:",,"SAB","(r,psb)","_bc",,"pec",
"253","366","27789","2","8","(R1P)","SA_B_a","(p,rpl)","ab",,,
"254","367","27893","5","9","(RP)","SA","(s)","c",,,
"255","368","27909","5","9",,"SA","(rs)","c",,,
"256","370","28090","3","12","(RP)","S_AB","(s)","b",,"pec",
"257","372","28205","4","9",,"SB","(r,tb)","bc",,,
